S#,Date,Islamic Date,Blast Day Type,Blast Day Type clean,Holiday Type,Holiday Type clean,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Category helper,Location Sensitivity,Location Sensitivity helper,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Hour of Attack,AM / PM
11,Wednesday-July 28-2004,11 Jumaada al-THaany 1425 A.H,Working Day,Working Day,,,8:50:PM,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,RESIDENCE,High,HIGH,Closed,Army,Military,None,2,3,,3,2,NA,CMH Kohat,32.43,90.374,2004,8,PM
12,Friday-July 30-2004,13 Jumaada al-THaany 1425 A.H,Working Day,Working Day,,,7:20:00 PM,Attock ,33.7645,72.3667,Punjab, Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,PARK/GROUND,Low,LOW,Open,Election rally ,Government Official,None,,7,44,70,1,NA,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997,2004,7,PM
13,Friday-October 1-2004,17 SHa`baan 1425 A.H,Working Day,Working Day,,,1:27 PM/1:25 PM,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Friday prayer,Religious,shiite,25,31,50,75,1,NA,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518,2004,1,PM
14,Sunday-October 10-2004,26 SHa`baan 1425 A.H.,Holiday,Holiday,Weekend,Weekend,5:55:00/6:40:00 PM,Lahore ,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Jamia Masjid /Shia Mosque,Religious,shiite,4,5,6,10,1,NA,Mayo Hospital ,24.39,75.902,2004,5,PM
15,Saturday-March 19-2005,9 safar 1426 A.H,Working Day,Working Day,,,11.45PM /10.30 pm,Quetta,30.2095,67.0182,Baluchistan,Gandava Town Shrine,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Urs Ceremony,Religious,Shiite,25,50,8,100,1,NA,NA,16.5,61.7,2005,11,PM
16,Thursday-April 28-2005,19 Raby` al-awal 1426 A.H,Working Day,Working Day,,,N/A,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat ,Park/Ground,PARK/GROUND,Low,LOW,Open,NA,civilian,None,,2,,,1,NA,NA,19.935,67.883,2005,,
17,Friday-May 27-2005,19 Raby` al-THaany 1426 A.H,Working Day,Working Day,,,11:00:00 AM,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,RELIGIOUS,Medium,MEDIUM,Closed,"Shia Muslim Annual 
Congregation ",Civilian,Shiite/sunni,20,25,82,100,1,NA,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888,2005,11,AM
18,Monday-May 30-2005,22 Raby` al-THaany 1426 A.H,Working Day,Working Day,,,evening,Karachi ,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,evening prayer,Religious,shiite,5,6,19,30,1,NA,1. Patel Hospital 2. JMPC,31.945,89.501,2005,,
19,Thursday-February 9-2006,10 MuHarram 1427 A.H,Holiday,Holiday,Ashura,Public Holiday,9:35:00 AM,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Park/Ground,PARK/GROUND,Low,LOW,Open,Ashura Day,Religious,Shiite,37,40,90,,1,NA,Hangu Hospital ,15.495,59.891,2006,9,AM
20,Thursday-March 2-2006,2 safar 1427 A.H.,Working Day,Working Day,,,9:00:00 AM,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,HOTEL,Medium,MEDIUM,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4,5,30,54,1,10-15 kg,,25.3,77.54,2006,9,AM
21,Wednesday-April 12-2006,14 Raby` al-awal 1427 A.H,Holiday,Holiday,Eid Milad un-Nabi,Public Holiday,7.00 pm,Karachi ,24.9918,66.9911,Sindh,Nishter Park ,Park/Ground,PARK/GROUND,Medium,MEDIUM,Open,Eid Miladun Nabi,Religious,Sunni,47,57,,100,1,5 kg,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital,28.415,83.147,2006,7,PM
22,Friday-June 2-2006,6 Jumaada al-awal 1427 A.H,Working Day,Working Day,,,10.30 am,Bannu,32.9861,70.6042,KPK,Bakkahel Area of FR Bannu,Mobile,MOBILE,High,HIGH,Open,Army convoy ,Military,None,6,7,7,8,1,NA,1. Combined Military 2. Hospital Peshawar,26.125,79.025,2006,10,AM
23,Monday-June 26-2006,30 Jumaada al-awal 1427 A.H,Working Day,Working Day,,,3:30:00 PM,North Waziristan,32.9746,70.1456,FATA,"Aisha Checkpoint-10km East of 
Miranshah",Military,MILITARY,High,HIGH,Open,NA,Military,None,6,7,,26,1,NA,NA,28.61,83.498,2006,3,PM
24,Sunday-August 6-2006,12 Rajab 1427 A.H,Holiday,Holiday,Weekend,Weekend,8.00 am,Lasbela,25.8377,66.5224,Baluchistan,"Zehri Street-Main Market
Hub",Market,MARKET,Low,LOW,Open,NA,Civilian,None,,1,,0,1,NA,NA,27.5,81.5,2006,8,AM
25,Wednesday-November 8-2006,17 SHawwal 1427 A.H,Working Day,Working Day,,,8.30am,Malakand ,34.503,71.9046,KPK,Dargai Military Base-100km north of Peshawar,Military,MILITARY,High,HIGH,Open,Recruits parade,Military,None,40,42,20,39,1,NA,"1. CMH Mardan
2. CMH Peshawar",19.205,66.569,2006,8,AM
26,Friday-November 17-2006,26 SHawwal 1427 A.H.,Working Day,Working Day,,,7.30 am/7:15AM,Peshawar,34.0043,71.5448,KPK,"Fayaz Khalil Shaheed
Chowk",Mobile,MOBILE,High,HIGH,Open,police van,Police,None,,1,,2,1,NA,NA,17.275,63.095,2006,7,AM
27,Sunday-December 3-2006,12 Thw al-Qi`dah 1427 A.H.,Holiday,Holiday,Weekend,Weekend,N/A,Bannu,32.9861,70.6042,KPK,Speen Tangi-kohat bannu road,Police,POLICE,High,HIGH,Open,NA,Police,None,,1,,1,1,NA,NA,4.705,40.469,2006,,
28,Monday-January 22-2007,3 MuHarram 1428 A.H,Working Day,Working Day,,,10:30:00 AM,North Waziristan,32.9746,70.1456,FATA,"Miltary convoy near Mir ali north
Wazirstan ",Mobile,MOBILE,High,HIGH,Open,Military convoy,Military,None,4,5,23,25,1,NA,NA,2.325,36.185,2007,10,AM
29,Friday-January 26-2007,7 MuHarram 1428 A.H,Working Day,Working Day,,,2:37:00 PM,Islamabad,33.718,73.0718,Capital,Islamabad Marriott Hotal ,Hotel,HOTEL,Medium,MEDIUM,Closed,Indian High Commission Function,Foreigner,None,1,2,5,7,1,NA,1.poly Clinic Hospital ,16.3,61.34,2007,2,PM
30,Saturday-January 27-2007,8 MuHarram 1428 A.H,Working Day,Working Day,,,8:40:00 PM,Peshawar ,34.0043,71.5448,KPK,near Mosque in QissaKhawani Bazaar,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Muharram procession about to start,Civilian,shiite,13,15,30,60,1,NA,1.Lady Reading hospital ,15.165,59.297,2007,8,PM
31,Monday-January 29-2007,10 MuHarram 1428 A.H,Holiday,Holiday,Ashura,Public Holiday,N/A,D.I Khan ,31.8238,70.9095,KPK,Checkpost Dera Ismial Khan ,Police,POLICE,High,HIGH,Open,Muharram procession,Civilian,shiite,2,3,,7,1,NA,"1.DIK Headquarters 
Hospital ",17.745,63.941,2007,,
32,Saturday-February 3-2007,15 MuHarram 1428 A.H.,Working Day,Working Day,,,6:17:00 AM,Lakki Marwat,32.6018,70.9148,KPK,"Ghazanikhel Market 
Laik marwat",Market,MARKET,Low,LOW,Open,,Civilian,None,,1,,,1,NA,NA,17.52,63.536,2007,6,AM
33,Saturday-February 3-2007,15 MuHarram 1428 A.H.,Working Day,Working Day,,,12:15:00 PM,Tank,31.8238,70.9095,KPK,Military Convoy Barakhel area-tank,Mobile,MOBILE,High,HIGH,Open,Military convoy,Military,None,,2,7,8,1,NA,1.CMH  Dera,19.935,67.883,2007,12,PM
34,Tuesday-February 6-2007,18 MuHarram 1428 A.H.,Working Day,Working Day,,,8:50:00 PM/9:10 PM,Islamabad ,33.718,73.0718,Capital,Islamabad Airport ,Airport,AIRPORT,High,HIGH,Open,,Civilian,None,,1,3,10,1,NA,NA,16.635,61.943,2007,8,PM
35,Saturday-February 17-2007,29 MuHarram 1428 A.H,Working Day,Working Day,,,11:05:00 AM,Quetta ,30.2095,67.0182,Baluchistan,"Quetta District court senior civil
 judge District Court",Government,GOVERNMENT,High,HIGH,Closed,,Civilian,None,16,17,30,35,1,NA,"1.Quttea Civil hospital 
2.Bolan medical hospital ",8.72,47.696,2007,11,AM
36,Thursday-March 29-2007,10 Raby` al-awal 1428 A.H,Working Day,Working Day,,,11:45:00 AM,Gujrat,32.5737,74.0786,Punjab,"Army training area guliana 
near Kharian Contonment",Military,MILITARY,High,HIGH,Open,,Military,None,1,2,6,8,1,NA,"1.Combined Military
 Hospital ",25.595,78.071,2007,11,AM
37,Saturday-April 28-2007,11 Raby` al-THaany 1428 A.H.,Working Day,Working Day,,,6:55:00 PM,Charsadda,34.1509,71.7359,KPK,"Federal Interior Minister Speech 
rallyy hometown Charsadda",Park/Ground,PARK/GROUND,Low,LOW,Open,Rally Charsadda ,Government Official,None,25,35,29,60,1,NA,"1.District Headquarters Hospital
 2.Lady Reading Hospital ",28.055,82.499,2007,6,PM
38,Tuesday-May 15-2007,28 Raby` al-THaany 1428 A.H,Working Day,Working Day,,,12:55:00 PM,Peshawar ,34.0043,71.5448,KPK,Peshawar Hotel ,Hotel,HOTEL,Medium,MEDIUM,Closed,,Foreigner,Sunni,22,26,12,35,1,NA,1.Lady Reading Hospital ,31.1,87.98,2007,12,PM
39,Monday-May 28-2007,11 Jumaada al-awal 1428 A.H,Working Day,Working Day,,,About 12pm,Tank ,32.226,70.3761,KPK,Boltonabad aera,Mobile,MOBILE,High,HIGH,Open,rammed the vehicle into FC vehicle,Military,None,,3,,2,1,NA,NA,24.935,76.883,2007,,PM
40,Wednesday-July 4-2007,19 Jumaada al-THaany 1428 A.H,Working Day,Working Day,,,10:25am,North Waziristan,32.9746,70.1456,FATA,Miltary convoy in bannu Gurbaz area,Mobile,MOBILE,High,HIGH,Open,Military convoy,Military,None,8,10,9,12,1,NA,1.CMH Peshawar,26.975,80.555,2007,10,AM
41,Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,Working Day,Working Day,,,N/A,Swat ,35.2227,72.4258,KPK,Security Force convoy in mingora,Mobile,MOBILE,High,HIGH,Open,Military convoy,Military,None,6,7,4,8,1,NA,"1.Agency Headquarters 
hospital ",31.74,89.132,2007,,
42,Thursday-July 12-2007,27 Jumaada al-THaany 1428 A.H,Working Day,Working Day,,,4:30:00 PM,North Waziristan,32.9746,70.1456,FATA,Political Agent Office in Miranshah,Government,GOVERNMENT,High,HIGH,Closed,,Government official,None,2,4,,3,1,NA,NA,31.39,88.502,2007,4,PM
43,Saturday-July 14-2007,29 Jumaada al-THaany 1428 A.H,Working Day,Working Day,,,2:00:00 PM,North Waziristan,32.9746,70.1456,FATA,Razmak town’s Daznaray area-20kms to the north of Miramshah,Mobile,MOBILE,High,HIGH,Open,Frontier Constabulary convoy,Military,None,23,24,26,29,1,NA,1.CMH Bannu hospital,26.02,78.836,2007,2,PM
44,Sunday-July 15-2007,1 Rajab 1428 A.H,Holiday,Holiday,Weekend,Weekend,3:30 PM-4:00:00 PM/4:15PM,D.I Khan,31.8238,70.9095,KPK,police recruitment center,Police,POLICE,High,HIGH,Closed,recruitment process in progress,Police,None,25,30,50,61,1,NA,"1.District Headquarters 
Hospital ",28.82,83.876,2007,3,PM
45,Sunday-July 15-2007,1 Rajab 1428 A.H,Holiday,Holiday,Weekend,Weekend,between 7:00-7:40 AM,Swat ,35.2227,72.4258,KPK,Matta,Mobile,MOBILE,High,HIGH,Open,police bus going from Kabal to Matta,Police,None,17,20,40,47,1,NA,,27.255,81.059,2007,,AM
46,Tuesday-July 17-2007,3 Rajab 1428 A.H,Working Day,Working Day,,,8:27:00 AM,Islamabad ,33.718,73.0718,Capital,outside the venue of distric bar convention council Islamabad ,Government,GOVERNMENT,High,HIGH,Open,Chief Justice Iftikhar muhammad ch had to address overthere,Government official,None,16,17,50,70,1,NA,1.Fedral govt services hospital 2.PIMS,28.875,83.975,2007,8,AM
47,Tuesday-July 17-2007,3 Rajab 1428 A.H,Working Day,Working Day,,,1:30:00 PM,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan ",Military,MILITARY,High,HIGH,Open,,Military,None,,4,2,3,1,NA,1.CMH Bannu hospital,26.945,80.501,2007,1,PM
48,Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,Working Day,,,8:40:00 AM,Lasbela,25.8377,66.5224,Baluchistan,Industrial town hub baluchistan ,Mobile,MOBILE,High,HIGH,Open,chinese engineers were going from Karachi to Hub,Foreigner,Christian,28,30,28,50,1,NA,,32.395,90.311,2007,8,AM
49,Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,Working Day,,,7:50:00 AM,Hangu,33.5351,71.0713,KPK,Training Center in Hangu,Police,POLICE,High,HIGH,Closed,,Police,None,6,8,30,35,1,NA,,30.735,87.323,2007,7,AM
50,Thursday-July 19-2007,5 Rajab 1428 A.H,Working Day,Working Day,,,N/A,Kohat ,33.5833,71.4333,KPK,Kohat Mosque ,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Sunni,15,20,8,58,1,NA,CMH kohat,30.275,86.495,2007,,
51,Friday-July 20-2007,6 Rajab 1428 A.H,Working Day,Working Day,,,12:30:00 PM/11:00AM,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan ",Military,MILITARY,High,HIGH,Open,,Military,None,,4,5,6,1,NA,NA,28.375,83.075,2007,12,AM
52,Friday-July 27-2007,13 Rajab 1428 A.H,Working Day,Working Day,,,5:25:00 PM,Islamabad ,33.718,73.0718,Capital,near Hotel in Abpara market,Hotel,HOTEL,Medium,MEDIUM,Closed,,Police,None,14,15,50,70,1,NA,"1.Federal Government
 services hospital
2.Capital Development 
Authority hospital ",26.39,79.502,2007,5,PM
53,Friday-August 3-2007,20 Rajab 1428 A.H.,Working Day,Working Day,,,Night,Swat ,35.2227,72.4258,KPK,District Swat gora village matta,Mobile,MOBILE,Low,LOW,Open,,civilian,None,,2,5,6,1,NA,NA,28.01,82.418,2007,,
54,Saturday-August 4-2007,21 Rajab 1428 A.H,Working Day,Working Day,,,10:30am,Kuram Agency ,32.9746,70.1456,FATA,Parachinar,Transport,TRANSPORT,Low,LOW,Open,,civilian,Sunni,9,23,35,43,1,NA,"1.Agency Headqurters 
Hospital ",25.835,78.503,2007,10,AM
55,Friday-August 17-2007,4 SHa`baan 1428 A.H,Working Day,Working Day,,,NA,Tank,32.226,70.3761,KPK, Military Convoys in Tank district,Mobile,MOBILE,High,HIGH,Open,,Military,None,,,3,5,1,NA,NA,26.185,79.133,2007,,
56,Sunday-August 19-2007,6 SHa`baan 1428 A.H,Holiday,Holiday,Weekend,Weekend,NA,North Waziristan,32.9746,70.1456,FATA,"North Wazirstan Mirali Military
 checkpost ",Military,MILITARY,High,HIGH,Open,,Military,None,,2,,2,1,NA,NA,29.01,84.218,2007,,
57,Sunday-August 19-2007,6 SHa`baan 1428 A.H,Holiday,Holiday,Weekend,Weekend,NA,Bannu,32.9861,70.6042,KPK,Bannu Police Check post ,Police,POLICE,High,HIGH,Open,,Police,None,,1,,4,1,NA,NA,29.965,85.937,2007,,
58,Monday-August 20-2007,7 SHa`baan 1428 A.H,Working Day,Working Day,,,9:00:00 AM,Hangu,33.5351,71.0713,KPK,"Checkpost on thall-parachinar road/kurram road
 mandori village ",Military,MILITARY,High,HIGH,Open,,Military,None,3,7,14,18,1,NA,1.Nawagai hospital ,27.195,80.951,2007,9,AM
59,Friday-August 24-2007,11 SHa`baan 1428 A.H,Working Day,Working Day,,,NA,North Waziristan,32.9746,70.1456,FATA,miranshah Military convoys ,Mobile,MOBILE,High,HIGH,Open,military convoy,Military,None,6,7,22,37,2,NA,1.Bannu Hospital ,28.365,83.057,2007,,
60,Sunday-August 26-2007,13 SHa`baan 1428 A.H,Holiday,Holiday,Weekend,Weekend,NA,Shangla ,34.8015,72.757,KPK,Machaar area of Shangla District ,Police,POLICE,High,HIGH,Open,,police,None,,4,,2,1,NA,NA,27.475,81.455,2007,,
61,Saturday-September 1-2007,19 SHa`baan 1428 A.H,Working Day,Working Day,,,10:00:00 AM,Bajaur Agency,34.8718,71.5249,FATA,Truck carrying security personeel was attacked in Mamond area,Mobile,MOBILE,High,HIGH,Open,truck carrying security personnel,Military,None,3,7,4,9,1,NA,"1.Agency Headquarters 
hospital ",28.84,83.912,2007,10,AM
62,Saturday-September 1-2007,19 SHa`baan 1428 A.H,Working Day,Working Day,,,,South Waziristan,32.3202,69.8597,FATA,check-post of the troops in the Jandola area of South Waziristan.,Military,MILITARY,High,HIGH,Closed,,Military,None,,0,,,1,NA,NA,29.58,85.244,2007,,
63,Tuesday-September 4-2007,22 SHa`baan 1428 A.H,Working Day,Working Day,,,7:15:00 AM,Rawalpindi,33.6058,73.0437,Punjab,1.Qasim Market Defence Ministry Bus,Mobile,MOBILE,High,HIGH,Open,,Military,None,18,25,,,2,NA,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87,2007,7,AM
64,Tuesday-September 4-2007,22 SHa`baan 1428 A.H,Working Day,Working Day,,,7:15:00 AM,Rawalpindi,33.6058,73.0437,Punjab,Near R.A Bazar behind general Headquarters ,Market,MARKET,Low,LOW,Open,,Military,None,,7,,,1,NA,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87,2007,7,AM
65,Tuesday-September 11-2007,29 SHa`baan 1428 A.H,Working Day,Working Day,,,NA,D.I Khan,31.8238,70.9095,KPK,Passanger van at Bannu adda/chungi,Mobile,MOBILE,Low,LOW,Open,,Civilian,None,17,19,16,19,1,NA,"DI Khan Headquarter
 hospital ",30.815,87.467,2007,,
66,Thursday-September 13-2007,1 RamaDHaan 1428 A.H,Working Day,Working Day,,,7:15:00 PM,Haripur,34.0011,72.9372,KPK,army officers mess in Tarbela ghazi,Military,MILITARY,High,HIGH,Closed, military convoy,Military,None,15,20,11,46,1,NA,"1.Wapda Hospital    2.CMH Pindi 
3.CMH Attock ",26.975,80.555,2007,7,PM
67,Saturday-September 22-2007,10 RamaDHaan 1428 A.H,Working Day,Working Day,,,2:00:00 AM,Tank,32.226,70.3761,KPK,military convoy going from Tank,Mobile,MOBILE,High,HIGH,Open, ,Military,None,,5,3,10,1,NA,NA,24.705,76.469,2007,2,AM
68,Monday-October 1-2007,19 RamaDHaan 1428 A.H,Working Day,Working Day,,,8:30:00 AM,bannu,32.9861,70.6042,KPK,checkpost near Dawa bridge/Durani Abshar Chowk,Police,POLICE,High,HIGH,Open,N/A,police,None,,16,29,32,1,NA,"1.District Headquartar 
Hospital ",24.57,76.226,2007,8,AM
69,Thursday-October 18-2007,6 SHawwal 1428 A.H,Working Day,Working Day,,,12:00 mid night,karachi ,24.9918,66.9911,Sindh,"Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal",Mobile,MOBILE,High,HIGH,Open,Rally ppp,Government Official,None,125,145,100,550,2,NA,"1.Jinnah Hospital 
2.Liaquat hospital ",28.025,82.445,2007,12,
70,Thursday-October 25-2007,13 SHawwal 1428 A.H,Working Day,Working Day,,,2:45:00 PM,Swat,35.2227,72.4258,KPK,Mingora Police Line ,Mobile,MOBILE,High,HIGH,Open,,Military,None,20,38,28,35,1,NA,1.Saidu Shrif hospital ,21.025,69.845,2007,2,PM
71,Tuesday-October 30-2007,18 SHawwal 1428 A.H,Working Day,Working Day,,,11:50:00 AM,Rawalpindi,33.6058,73.0437,Punjab,"Rawalpindi police checkpoint 
security zone",Police,POLICE,High,HIGH,Open,,Military,None,7,8,18,31,1,NA,1.CMH 2.Civil hospital,20.905,69.629,2007,11,AM
72,Thursday-November 1-2007,20 SHawwal 1428 A.H,Working Day,Working Day,,,7:10:00 AM,Sargodha,32.0791,72.6718,Punjab,PAF Bus on faisalabad road-Sargodha ,Mobile,MOBILE,High,HIGH,Open,PAF Bus,Military,None,8,10,27,40,1,10 kg ,"1.PAF Sargodha 
2.CMH Rwp",20.82,69.476,2007,7,AM
73,Friday-November 9-2007,28 SHawwal 1428 A.H,Holiday,Holiday,Iqbal Day,Public Holiday,4:15:00 PM,Peshawar,34.0043,71.5448,KPK,"Peshawar  Federal minister 
political amir muqam house",Residence,RESIDENCE,Low,LOW,Closed,Political Affairs meeting,Government Official,None,3,4,2,5,1,5 to 6 Kg,1.Hayatabad Medical Complex,19.445,67.001,2007,4,PM
74,Saturday-November 24-2007,14 Thw al-Qi`dah 1428 A.H,Working Day,Working Day,,,7:40:00 AM,Rawalpindi,33.6058,73.0437,Punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad ,Mobile,MOBILE,High,HIGH,Open,Hamza camp,Military,None,17,38,,35,1,NA,"1.Military Hospital 
2.Rawalpindi hospital ",15.555,59.999,2007,7,AM
75,Saturday-November 24-2007,14 Thw al-Qi`dah 1428 A.H,Working Day,Working Day,,,7:50:00 AM,Rawalpindi,33.6058,73.0437,Punjab,GHQ,Military,MILITARY,High,HIGH,Open,,Military,None,,1,2,5,1,NA,,15.555,59.999,2007,7,AM
76,Tuesday-December 4-2007,24 Thw al-Qi`dah 1428 A.H,Working Day,Working Day,,,NA,Peshawar,34.0043,71.5448,KPK,Checkpost high-security cantonment area babar road,Military,MILITARY,High,HIGH,Open,,Military,None,,1,,0,1,NA,NA,14.73,58.514,2007,,
77,Sunday-December 9-2007,29 Thw al-Qi`dah 1428 A.H,Holiday,Holiday,Weekend,Weekend,11:15:00 AM/12:30 PM,Swat,35.2227,72.4258,KPK,Ningolai Security checkpost,Police,POLICE,High,HIGH,Open,,Police,None,10,13,,2,1,10 to 15 kg,NA,11.925,53.465,2007,11,PM
78,Monday-December 10-2007,30 Thw al-Qi`dah 1428 A.H,Working Day,Working Day,,,7:24:00 AM/7:30AM,Attock ,33.7645,72.3667,Punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,Mobile,MOBILE,Low,LOW,Open,,Children/Women,None,,0,7,22,1,NA,1.CMH Rwp,12.13,53.834,2007,7,AM
79,Thursday-December 13-2007,3 Thw al-Hijjah 1428 A.H,Working Day,Working Day,,,4:50:00 PM,Quetta ,30.2095,67.0182,Baluchistan,military Checkpost ,Military,MILITARY,High,HIGH,Open,,Military,None,5,12,22,23,2,NA,1.CMH hospital ,4.16,39.488,2007,4,PM
80,Saturday-December 15-2007,5 Thw al-Hijjah 1428 A.H,Working Day,Working Day,,,9:25:00 AM,Nowshehra,34.0322,73.0944,KPK,Noshera security check post,Military,MILITARY,High,HIGH,Open,,Military,None,5,6,11,20,1,NA,1.CMH Nowshera,9.515,49.127,2007,9,AM
81,Monday-December 17-2007,7 Thw al-Hijjah 1428 A.H,Working Day,Working Day,,,12:30:00 PM,Kohat,33.5833,71.4333,KPK,kohat cantt-fountain round about-near army public school,Military,MILITARY,High,HIGH,Open,recruits returning to barracks after morning exercise,Military,None,,12,2,5,1,more than 5Kg,Combine Military hospital,11.345,52.421,2007,12,PM
